Year,Year Code,HHS Region,HHS Region Code,ICD Sub-Chapter,ICD Sub-Chapter Code,Ten-Year Age Groups,Ten-Year Age Groups Code,Gender,Gender Code,Deaths,Population,Crude Rate
2007.0,2007.0,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,Intestinal infectious diseases,A00-A09,55-64 years,55-64,Male,M,13.0,810367.0,Unreliable
2007.0,2007.0,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,Intestinal infectious diseases,A00-A09,65-74 years,65-74,Female,F,45.0,508627.0,8.8
2007.0,2007.0,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,Intestinal infectious diseases,A00-A09,65-74 years,65-74,Male,M,39.0,433649.0,9
2007.0,2007.0,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,Intestinal infectious diseases,A00-A09,75-84 years,75-84,Female,F,117.0,413509.0,28.3
2007.0,2007.0,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,Intestinal infectious diseases,A00-A09,75-84 years,75-84,Male,M,105.0,280748.0,37.4
2007.0,2007.0,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,Intestinal infectious diseases,A00-A09,85+ years,85+,Female,F,191.0,210294.0,90.8
2007.0,2007.0,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,Intestinal infectious diseases,A00-A09,85+ years,85+,Male,M,110.0,91483.0,120.2
2007.0,2007.0,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,Other bacterial diseases,A30-A49,35-44 years,35-44,Female,F,15.0,1075591.0,Unreliable
2007.0,2007.0,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,Other bacterial diseases,A30-A49,35-44 years,35-44,Male,M,16.0,1032339.0,Unreliable
2007.0,2007.0,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,Other bacterial diseases,A30-A49,45-54 years,45-54,Female,F,48.0,1147042.0,4.2
2007.0,2007.0,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,Other bacterial diseases,A30-A49,45-54 years,45-54,Male,M,59.0,1097142.0,5.4
2007.0,2007.0,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,Other bacterial diseases,A30-A49,55-64 years,55-64,Female,F,95.0,866551.0,11
2007.0,2007.0,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,Other bacterial diseases,A30-A49,55-64 years,55-64,Male,M,116.0,810367.0,14.3
2007.0,2007.0,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,Other bacterial diseases,A30-A49,65-74 years,65-74,Female,F,142.0,508627.0,27.9
2007.0,2007.0,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,Other bacterial diseases,A30-A49,65-74 years,65-74,Male,M,166.0,433649.0,38.3
2007.0,2007.0,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,Other bacterial diseases,A30-A49,75-84 years,75-84,Female,F,331.0,413509.0,80
2007.0,2007.0,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,Other bacterial diseases,A30-A49,75-84 years,75-84,Male,M,311.0,280748.0,110.8
2007.0,2007.0,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,Other bacterial diseases,A30-A49,85+ years,85+,Female,F,451.0,210294.0,214.5
2007.0,2007.0,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,Other bacterial diseases,A30-A49,85+ years,85+,Male,M,258.0,91483.0,282
2007.0,2007.0,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,Viral hepatitis,B15-B19,35-44 years,35-44,Male,M,10.0,1032339.0,Unreliable
2007.0,2007.0,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,Viral hepatitis,B15-B19,45-54 years,45-54,Female,F,20.0,1147042.0,1.7
2007.0,2007.0,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,Viral hepatitis,B15-B19,45-54 years,45-54,Male,M,89.0,1097142.0,8.1
2007.0,2007.0,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,Viral hepatitis,B15-B19,55-64 years,55-64,Female,F,12.0,866551.0,Unreliable
2007.0,2007.0,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,Viral hepatitis,B15-B19,55-64 years,55-64,Male,M,64.0,810367.0,7.9
2007.0,2007.0,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,Viral hepatitis,B15-B19,65-74 years,65-74,Female,F,11.0,508627.0,Unreliable
2007.0,2007.0,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,Viral hepatitis,B15-B19,65-74 years,65-74,Male,M,14.0,433649.0,Unreliable
2007.0,2007.0,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,Human immunodeficiency virus [HIV] disease,B20-B24,35-44 years,35-44,Female,F,18.0,1075591.0,Unreliable
2007.0,2007.0,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,Human immunodeficiency virus [HIV] disease,B20-B24,35-44 years,35-44,Male,M,62.0,1032339.0,6
2007.0,2007.0,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,Human immunodeficiency virus [HIV] disease,B20-B24,45-54 years,45-54,Female,F,59.0,1147042.0,5.1
2007.0,2007.0,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,Human immunodeficiency virus [HIV] disease,B20-B24,45-54 years,45-54,Male,M,93.0,1097142.0,8.5
