Year,Year Code,HHS Region,HHS Region Code,ICD Sub-Chapter,ICD Sub-Chapter Code,Ten-Year Age Groups,Ten-Year Age Groups Code,Gender,Gender Code,Deaths,Population,Crude Rate
2011.0,2011.0,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,Intestinal infectious diseases,A00-A09,55-64 years,55-64,Female,F,21.0,989633.0,2.1
2011.0,2011.0,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,Intestinal infectious diseases,A00-A09,55-64 years,55-64,Male,M,28.0,925277.0,3
2011.0,2011.0,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,Intestinal infectious diseases,A00-A09,65-74 years,65-74,Female,F,49.0,579185.0,8.5
2011.0,2011.0,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,Intestinal infectious diseases,A00-A09,65-74 years,65-74,Male,M,45.0,504147.0,8.9
2011.0,2011.0,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,Intestinal infectious diseases,A00-A09,75-84 years,75-84,Female,F,159.0,390679.0,40.7
2011.0,2011.0,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,Intestinal infectious diseases,A00-A09,75-84 years,75-84,Male,M,104.0,278616.0,37.3
2011.0,2011.0,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,Intestinal infectious diseases,A00-A09,85+ years,85+,Female,F,279.0,227481.0,122.6
2011.0,2011.0,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,Intestinal infectious diseases,A00-A09,85+ years,85+,Male,M,149.0,106099.0,140.4
2011.0,2011.0,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,Other bacterial diseases,A30-A49,35-44 years,35-44,Female,F,14.0,960732.0,Unreliable
2011.0,2011.0,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,Other bacterial diseases,A30-A49,35-44 years,35-44,Male,M,19.0,919662.0,Unreliable
2011.0,2011.0,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,Other bacterial diseases,A30-A49,45-54 years,45-54,Female,F,40.0,1166489.0,3.4
2011.0,2011.0,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,Other bacterial diseases,A30-A49,45-54 years,45-54,Male,M,48.0,1113834.0,4.3
2011.0,2011.0,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,Other bacterial diseases,A30-A49,55-64 years,55-64,Female,F,88.0,989633.0,8.9
2011.0,2011.0,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,Other bacterial diseases,A30-A49,55-64 years,55-64,Male,M,95.0,925277.0,10.3
2011.0,2011.0,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,Other bacterial diseases,A30-A49,65-74 years,65-74,Female,F,154.0,579185.0,26.6
2011.0,2011.0,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,Other bacterial diseases,A30-A49,65-74 years,65-74,Male,M,168.0,504147.0,33.3
2011.0,2011.0,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,Other bacterial diseases,A30-A49,75-84 years,75-84,Female,F,279.0,390679.0,71.4
2011.0,2011.0,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,Other bacterial diseases,A30-A49,75-84 years,75-84,Male,M,268.0,278616.0,96.2
2011.0,2011.0,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,Other bacterial diseases,A30-A49,85+ years,85+,Female,F,381.0,227481.0,167.5
2011.0,2011.0,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,Other bacterial diseases,A30-A49,85+ years,85+,Male,M,277.0,106099.0,261.1
2011.0,2011.0,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,Viral hepatitis,B15-B19,45-54 years,45-54,Female,F,18.0,1166489.0,Unreliable
2011.0,2011.0,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,Viral hepatitis,B15-B19,45-54 years,45-54,Male,M,64.0,1113834.0,5.7
2011.0,2011.0,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,Viral hepatitis,B15-B19,55-64 years,55-64,Female,F,33.0,989633.0,3.3
2011.0,2011.0,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,Viral hepatitis,B15-B19,55-64 years,55-64,Male,M,92.0,925277.0,9.9
2011.0,2011.0,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,Viral hepatitis,B15-B19,65-74 years,65-74,Female,F,10.0,579185.0,Unreliable
2011.0,2011.0,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,Viral hepatitis,B15-B19,65-74 years,65-74,Male,M,11.0,504147.0,Unreliable
2011.0,2011.0,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,Human immunodeficiency virus [HIV] disease,B20-B24,35-44 years,35-44,Female,F,23.0,960732.0,2.4
2011.0,2011.0,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,Human immunodeficiency virus [HIV] disease,B20-B24,35-44 years,35-44,Male,M,18.0,919662.0,Unreliable
2011.0,2011.0,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,Human immunodeficiency virus [HIV] disease,B20-B24,45-54 years,45-54,Female,F,24.0,1166489.0,2.1
2011.0,2011.0,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,Human immunodeficiency virus [HIV] disease,B20-B24,45-54 years,45-54,Male,M,61.0,1113834.0,5.5
2011.0,2011.0,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,Human immunodeficiency virus [HIV] disease,B20-B24,55-64 years,55-64,Female,F,20.0,989633.0,2
2011.0,2011.0,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,Human immunodeficiency virus [HIV] disease,B20-B24,55-64 years,55-64,Male,M,39.0,925277.0,4.2
2011.0,2011.0,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,Human immunodeficiency virus [HIV] disease,B20-B24,65-74 years,65-74,Male,M,14.0,504147.0,Unreliable
2011.0,2011.0,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,Other infectious diseases,B99-B99,85+ years,85+,Female,F,10.0,227481.0,Unreliable
2011.0,2011.0,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,Malignant neoplasms,C00-C97,5-14 years,14-May,Female,F,18.0,852243.0,Unreliable
2011.0,2011.0,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,Malignant neoplasms,C00-C97,5-14 years,14-May,Male,M,19.0,892374.0,Unreliable
2011.0,2011.0,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,Malignant neoplasms,C00-C97,15-24 years,15-24,Female,F,24.0,990631.0,2.4
2011.0,2011.0,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,Malignant neoplasms,C00-C97,15-24 years,15-24,Male,M,37.0,1021168.0,3.6
2011.0,2011.0,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,Malignant neoplasms,C00-C97,25-34 years,25-34,Female,F,67.0,898924.0,7.5
2011.0,2011.0,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,Malignant neoplasms,C00-C97,25-34 years,25-34,Male,M,75.0,889881.0,8.4
2011.0,2011.0,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,Malignant neoplasms,C00-C97,35-44 years,35-44,Female,F,281.0,960732.0,29.2
2011.0,2011.0,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,Malignant neoplasms,C00-C97,35-44 years,35-44,Male,M,231.0,919662.0,25.1
2011.0,2011.0,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,Malignant neoplasms,C00-C97,45-54 years,45-54,Female,F,1074.0,1166489.0,92.1
