Year,Year Code,HHS Region,HHS Region Code,ICD Sub-Chapter,ICD Sub-Chapter Code,Ten-Year Age Groups,Ten-Year Age Groups Code,Gender,Gender Code,Deaths,Population,Crude Rate
2013.0,2013.0,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,Intestinal infectious diseases,A00-A09,55-64 years,55-64,Female,F,21.0,1021812.0,2.1
2013.0,2013.0,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,Intestinal infectious diseases,A00-A09,55-64 years,55-64,Male,M,22.0,955289.0,2.3
2013.0,2013.0,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,Intestinal infectious diseases,A00-A09,65-74 years,65-74,Female,F,57.0,652705.0,8.7
2013.0,2013.0,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,Intestinal infectious diseases,A00-A09,65-74 years,65-74,Male,M,35.0,575486.0,6.1
2013.0,2013.0,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,Intestinal infectious diseases,A00-A09,75-84 years,75-84,Female,F,126.0,384653.0,32.8
2013.0,2013.0,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,Intestinal infectious diseases,A00-A09,75-84 years,75-84,Male,M,85.0,279671.0,30.4
2013.0,2013.0,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,Intestinal infectious diseases,A00-A09,85+ years,85+,Female,F,218.0,233574.0,93.3
2013.0,2013.0,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,Intestinal infectious diseases,A00-A09,85+ years,85+,Male,M,105.0,112453.0,93.4
2013.0,2013.0,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,Other bacterial diseases,A30-A49,35-44 years,35-44,Male,M,11.0,887298.0,Unreliable
2013.0,2013.0,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,Other bacterial diseases,A30-A49,45-54 years,45-54,Female,F,44.0,1138597.0,3.9
2013.0,2013.0,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,Other bacterial diseases,A30-A49,45-54 years,45-54,Male,M,50.0,1083560.0,4.6
2013.0,2013.0,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,Other bacterial diseases,A30-A49,55-64 years,55-64,Female,F,102.0,1021812.0,10
2013.0,2013.0,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,Other bacterial diseases,A30-A49,55-64 years,55-64,Male,M,107.0,955289.0,11.2
2013.0,2013.0,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,Other bacterial diseases,A30-A49,65-74 years,65-74,Female,F,164.0,652705.0,25.1
2013.0,2013.0,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,Other bacterial diseases,A30-A49,65-74 years,65-74,Male,M,189.0,575486.0,32.8
2013.0,2013.0,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,Other bacterial diseases,A30-A49,75-84 years,75-84,Female,F,277.0,384653.0,72
2013.0,2013.0,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,Other bacterial diseases,A30-A49,75-84 years,75-84,Male,M,248.0,279671.0,88.7
2013.0,2013.0,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,Other bacterial diseases,A30-A49,85+ years,85+,Female,F,424.0,233574.0,181.5
2013.0,2013.0,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,Other bacterial diseases,A30-A49,85+ years,85+,Male,M,270.0,112453.0,240.1
2013.0,2013.0,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,Viral hepatitis,B15-B19,45-54 years,45-54,Female,F,20.0,1138597.0,1.8
2013.0,2013.0,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,Viral hepatitis,B15-B19,45-54 years,45-54,Male,M,49.0,1083560.0,4.5
2013.0,2013.0,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,Viral hepatitis,B15-B19,55-64 years,55-64,Female,F,28.0,1021812.0,2.7
2013.0,2013.0,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,Viral hepatitis,B15-B19,55-64 years,55-64,Male,M,79.0,955289.0,8.3
2013.0,2013.0,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,Viral hepatitis,B15-B19,65-74 years,65-74,Female,F,13.0,652705.0,Unreliable
2013.0,2013.0,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,Viral hepatitis,B15-B19,65-74 years,65-74,Male,M,25.0,575486.0,4.3
2013.0,2013.0,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,Viral hepatitis,B15-B19,75-84 years,75-84,Female,F,15.0,384653.0,Unreliable
2013.0,2013.0,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,Viral hepatitis,B15-B19,75-84 years,75-84,Male,M,11.0,279671.0,Unreliable
2013.0,2013.0,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,Human immunodeficiency virus [HIV] disease,B20-B24,35-44 years,35-44,Male,M,15.0,887298.0,Unreliable
2013.0,2013.0,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,Human immunodeficiency virus [HIV] disease,B20-B24,45-54 years,45-54,Female,F,23.0,1138597.0,2
2013.0,2013.0,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,Human immunodeficiency virus [HIV] disease,B20-B24,45-54 years,45-54,Male,M,51.0,1083560.0,4.7
