Year,Year Code,HHS Region,HHS Region Code,ICD Sub-Chapter,ICD Sub-Chapter Code,Ten-Year Age Groups,Ten-Year Age Groups Code,Gender,Gender Code,Deaths,Population,Crude Rate
2017.0,2017.0,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,Intestinal infectious diseases,A00-A09,55-64 years,55-64,Female,F,21.0,1090298.0,1.9
2017.0,2017.0,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,Intestinal infectious diseases,A00-A09,55-64 years,55-64,Male,M,20.0,1017796.0,2
2017.0,2017.0,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,Intestinal infectious diseases,A00-A09,65-74 years,65-74,Female,F,40.0,768048.0,5.2
2017.0,2017.0,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,Intestinal infectious diseases,A00-A09,65-74 years,65-74,Male,M,31.0,678293.0,4.6
2017.0,2017.0,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,Intestinal infectious diseases,A00-A09,75-84 years,75-84,Female,F,78.0,400999.0,19.5
2017.0,2017.0,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,Intestinal infectious diseases,A00-A09,75-84 years,75-84,Male,M,54.0,302811.0,17.8
2017.0,2017.0,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,Intestinal infectious diseases,A00-A09,85+ years,85+,Female,F,132.0,237767.0,55.5
2017.0,2017.0,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,Intestinal infectious diseases,A00-A09,85+ years,85+,Male,M,60.0,120296.0,49.9
2017.0,2017.0,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,Other bacterial diseases,A30-A49,35-44 years,35-44,Male,M,14.0,860656.0,Unreliable
2017.0,2017.0,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,Other bacterial diseases,A30-A49,45-54 years,45-54,Female,F,33.0,1061174.0,3.1
