Year,Year Code,HHS Region,HHS Region Code,ICD Sub-Chapter,ICD Sub-Chapter Code,Ten-Year Age Groups,Ten-Year Age Groups Code,Gender,Gender Code,Deaths,Population,Crude Rate
2009.0,2009.0,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,Intestinal infectious diseases,A00-A09,55-64 years,55-64,Female,F,17.0,922446.0,Unreliable
2009.0,2009.0,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,Intestinal infectious diseases,A00-A09,55-64 years,55-64,Male,M,11.0,862125.0,Unreliable
2009.0,2009.0,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,Intestinal infectious diseases,A00-A09,65-74 years,65-74,Female,F,42.0,547715.0,7.7
2009.0,2009.0,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,Intestinal infectious diseases,A00-A09,65-74 years,65-74,Male,M,46.0,472452.0,9.7
2009.0,2009.0,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,Intestinal infectious diseases,A00-A09,75-84 years,75-84,Female,F,167.0,399793.0,41.8
2009.0,2009.0,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,Intestinal infectious diseases,A00-A09,75-84 years,75-84,Male,M,116.0,277606.0,41.8
2009.0,2009.0,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,Intestinal infectious diseases,A00-A09,85+ years,85+,Female,F,297.0,219201.0,135.5
2009.0,2009.0,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,Intestinal infectious diseases,A00-A09,85+ years,85+,Male,M,138.0,98758.0,139.7
2009.0,2009.0,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,Other bacterial diseases,A30-A49,35-44 years,35-44,Female,F,17.0,1013392.0,Unreliable
2009.0,2009.0,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,Other bacterial diseases,A30-A49,35-44 years,35-44,Male,M,20.0,969741.0,2.1
2009.0,2009.0,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,Other bacterial diseases,A30-A49,45-54 years,45-54,Female,F,50.0,1171422.0,4.3
2009.0,2009.0,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,Other bacterial diseases,A30-A49,45-54 years,45-54,Male,M,53.0,1118805.0,4.7
2009.0,2009.0,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,Other bacterial diseases,A30-A49,55-64 years,55-64,Female,F,93.0,922446.0,10.1
2009.0,2009.0,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,Other bacterial diseases,A30-A49,55-64 years,55-64,Male,M,101.0,862125.0,11.7
2009.0,2009.0,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,Other bacterial diseases,A30-A49,65-74 years,65-74,Female,F,134.0,547715.0,24.5
2009.0,2009.0,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,Other bacterial diseases,A30-A49,65-74 years,65-74,Male,M,151.0,472452.0,32
2009.0,2009.0,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,Other bacterial diseases,A30-A49,75-84 years,75-84,Female,F,285.0,399793.0,71.3
2009.0,2009.0,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,Other bacterial diseases,A30-A49,75-84 years,75-84,Male,M,282.0,277606.0,101.6
2009.0,2009.0,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,Other bacterial diseases,A30-A49,85+ years,85+,Female,F,421.0,219201.0,192.1
2009.0,2009.0,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,Other bacterial diseases,A30-A49,85+ years,85+,Male,M,247.0,98758.0,250.1
2009.0,2009.0,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,Viral hepatitis,B15-B19,45-54 years,45-54,Female,F,27.0,1171422.0,2.3
2009.0,2009.0,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,Viral hepatitis,B15-B19,45-54 years,45-54,Male,M,62.0,1118805.0,5.5
2009.0,2009.0,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,Viral hepatitis,B15-B19,55-64 years,55-64,Female,F,27.0,922446.0,2.9
2009.0,2009.0,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,Viral hepatitis,B15-B19,55-64 years,55-64,Male,M,74.0,862125.0,8.6
2009.0,2009.0,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,Viral hepatitis,B15-B19,65-74 years,65-74,Male,M,19.0,472452.0,Unreliable
