Year,Year Code,HHS Region,HHS Region Code,ICD Sub-Chapter,ICD Sub-Chapter Code,Notes,Ten-Year Age Groups,Ten-Year Age Groups Code,Gender,Gender Code,Deaths,Population,Crude Rate
2007,2007,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,Intestinal infectious diseases,A00-A09,,55-64 years,55-64,Male,M,13,810367,Unreliable
2007,2007,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,Intestinal infectious diseases,A00-A09,,65-74 years,65-74,Female,F,45,508627,8.8
2007,2007,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,Intestinal infectious diseases,A00-A09,,65-74 years,65-74,Male,M,39,433649,9
2007,2007,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,Intestinal infectious diseases,A00-A09,,75-84 years,75-84,Female,F,117,413509,28.3
2007,2007,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,Intestinal infectious diseases,A00-A09,,75-84 years,75-84,Male,M,105,280748,37.4
2007,2007,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,Intestinal infectious diseases,A00-A09,,85+ years,85+,Female,F,191,210294,90.8
2007,2007,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,Intestinal infectious diseases,A00-A09,,85+ years,85+,Male,M,110,91483,120.2
2007,2007,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,Other bacterial diseases,A30-A49,,35-44 years,35-44,Female,F,15,1075591,Unreliable
2007,2007,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,Other bacterial diseases,A30-A49,,35-44 years,35-44,Male,M,16,1032339,Unreliable
2007,2007,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,Other bacterial diseases,A30-A49,,45-54 years,45-54,Female,F,48,1147042,4.2
2007,2007,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,Other bacterial diseases,A30-A49,,45-54 years,45-54,Male,M,59,1097142,5.4
2007,2007,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,Other bacterial diseases,A30-A49,,55-64 years,55-64,Female,F,95,866551,11
2007,2007,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,Other bacterial diseases,A30-A49,,55-64 years,55-64,Male,M,116,810367,14.3
2007,2007,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,Other bacterial diseases,A30-A49,,65-74 years,65-74,Female,F,142,508627,27.9
2007,2007,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,Other bacterial diseases,A30-A49,,65-74 years,65-74,Male,M,166,433649,38.3
2007,2007,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,Other bacterial diseases,A30-A49,,75-84 years,75-84,Female,F,331,413509,80
2007,2007,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,Other bacterial diseases,A30-A49,,75-84 years,75-84,Male,M,311,280748,110.8
2007,2007,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,Other bacterial diseases,A30-A49,,85+ years,85+,Female,F,451,210294,214.5
2007,2007,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,Other bacterial diseases,A30-A49,,85+ years,85+,Male,M,258,91483,282
2007,2007,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,Viral hepatitis,B15-B19,,35-44 years,35-44,Male,M,10,1032339,Unreliable
2007,2007,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,Viral hepatitis,B15-B19,,45-54 years,45-54,Female,F,20,1147042,1.7
2007,2007,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,Viral hepatitis,B15-B19,,45-54 years,45-54,Male,M,89,1097142,8.1
2007,2007,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,Viral hepatitis,B15-B19,,55-64 years,55-64,Female,F,12,866551,Unreliable
2007,2007,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,Viral hepatitis,B15-B19,,55-64 years,55-64,Male,M,64,810367,7.9
2007,2007,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,Viral hepatitis,B15-B19,,65-74 years,65-74,Female,F,11,508627,Unreliable
2007,2007,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,Viral hepatitis,B15-B19,,65-74 years,65-74,Male,M,14,433649,Unreliable
2007,2007,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,Human immunodeficiency virus [HIV] disease,B20-B24,,35-44 years,35-44,Female,F,18,1075591,Unreliable
2007,2007,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,Human immunodeficiency virus [HIV] disease,B20-B24,,35-44 years,35-44,Male,M,62,1032339,6
