Year,Year Code,HHS Region,HHS Region Code,ICD Sub-Chapter,ICD Sub-Chapter Code,Notes,Ten-Year Age Groups,Ten-Year Age Groups Code,Gender,Gender Code,Deaths,Population,Crude Rate
2011,2011,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,Intestinal infectious diseases,A00-A09,,55-64 years,55-64,Female,F,21,989633,2.1
2011,2011,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,Intestinal infectious diseases,A00-A09,,55-64 years,55-64,Male,M,28,925277,3
2011,2011,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,Intestinal infectious diseases,A00-A09,,65-74 years,65-74,Female,F,49,579185,8.5
2011,2011,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,Intestinal infectious diseases,A00-A09,,65-74 years,65-74,Male,M,45,504147,8.9
2011,2011,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,Intestinal infectious diseases,A00-A09,,75-84 years,75-84,Female,F,159,390679,40.7
2011,2011,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,Intestinal infectious diseases,A00-A09,,75-84 years,75-84,Male,M,104,278616,37.3
2011,2011,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,Intestinal infectious diseases,A00-A09,,85+ years,85+,Female,F,279,227481,122.6
2011,2011,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,Intestinal infectious diseases,A00-A09,,85+ years,85+,Male,M,149,106099,140.4
2011,2011,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,Other bacterial diseases,A30-A49,,35-44 years,35-44,Female,F,14,960732,Unreliable
2011,2011,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,Other bacterial diseases,A30-A49,,35-44 years,35-44,Male,M,19,919662,Unreliable
2011,2011,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,Other bacterial diseases,A30-A49,,45-54 years,45-54,Female,F,40,1166489,3.4
2011,2011,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,Other bacterial diseases,A30-A49,,45-54 years,45-54,Male,M,48,1113834,4.3
2011,2011,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,Other bacterial diseases,A30-A49,,55-64 years,55-64,Female,F,88,989633,8.9
2011,2011,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,Other bacterial diseases,A30-A49,,55-64 years,55-64,Male,M,95,925277,10.3
2011,2011,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,Other bacterial diseases,A30-A49,,65-74 years,65-74,Female,F,154,579185,26.6
2011,2011,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,Other bacterial diseases,A30-A49,,65-74 years,65-74,Male,M,168,504147,33.3
2011,2011,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,Other bacterial diseases,A30-A49,,75-84 years,75-84,Female,F,279,390679,71.4
2011,2011,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,Other bacterial diseases,A30-A49,,75-84 years,75-84,Male,M,268,278616,96.2
2011,2011,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,Other bacterial diseases,A30-A49,,85+ years,85+,Female,F,381,227481,167.5
2011,2011,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,Other bacterial diseases,A30-A49,,85+ years,85+,Male,M,277,106099,261.1
2011,2011,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,Viral hepatitis,B15-B19,,45-54 years,45-54,Female,F,18,1166489,Unreliable
2011,2011,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,Viral hepatitis,B15-B19,,45-54 years,45-54,Male,M,64,1113834,5.7
2011,2011,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,Viral hepatitis,B15-B19,,55-64 years,55-64,Female,F,33,989633,3.3
