Year,Year Code,HHS Region,HHS Region Code,ICD Sub-Chapter,ICD Sub-Chapter Code,Notes,Ten-Year Age Groups,Ten-Year Age Groups Code,Gender,Gender Code,Deaths,Population,Crude Rate
2009,2009,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,Intestinal infectious diseases,A00-A09,,55-64 years,55-64,Female,F,17,922446,Unreliable
2009,2009,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,Intestinal infectious diseases,A00-A09,,55-64 years,55-64,Male,M,11,862125,Unreliable
2009,2009,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,Intestinal infectious diseases,A00-A09,,65-74 years,65-74,Female,F,42,547715,7.7
2009,2009,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,Intestinal infectious diseases,A00-A09,,65-74 years,65-74,Male,M,46,472452,9.7
2009,2009,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,Intestinal infectious diseases,A00-A09,,75-84 years,75-84,Female,F,167,399793,41.8
2009,2009,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,Intestinal infectious diseases,A00-A09,,75-84 years,75-84,Male,M,116,277606,41.8
2009,2009,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,Intestinal infectious diseases,A00-A09,,85+ years,85+,Female,F,297,219201,135.5
2009,2009,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,Intestinal infectious diseases,A00-A09,,85+ years,85+,Male,M,138,98758,139.7
2009,2009,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,Other bacterial diseases,A30-A49,,35-44 years,35-44,Female,F,17,1013392,Unreliable
2009,2009,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,Other bacterial diseases,A30-A49,,35-44 years,35-44,Male,M,20,969741,2.1
2009,2009,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,Other bacterial diseases,A30-A49,,45-54 years,45-54,Female,F,50,1171422,4.3
2009,2009,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,Other bacterial diseases,A30-A49,,45-54 years,45-54,Male,M,53,1118805,4.7
2009,2009,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,Other bacterial diseases,A30-A49,,55-64 years,55-64,Female,F,93,922446,10.1
2009,2009,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,Other bacterial diseases,A30-A49,,55-64 years,55-64,Male,M,101,862125,11.7
2009,2009,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,Other bacterial diseases,A30-A49,,65-74 years,65-74,Female,F,134,547715,24.5
2009,2009,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,Other bacterial diseases,A30-A49,,65-74 years,65-74,Male,M,151,472452,32
2009,2009,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,Other bacterial diseases,A30-A49,,75-84 years,75-84,Female,F,285,399793,71.3
2009,2009,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,Other bacterial diseases,A30-A49,,75-84 years,75-84,Male,M,282,277606,101.6
2009,2009,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,Other bacterial diseases,A30-A49,,85+ years,85+,Female,F,421,219201,192.1
2009,2009,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,Other bacterial diseases,A30-A49,,85+ years,85+,Male,M,247,98758,250.1
2009,2009,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,Viral hepatitis,B15-B19,,45-54 years,45-54,Female,F,27,1171422,2.3
2009,2009,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,Viral hepatitis,B15-B19,,45-54 years,45-54,Male,M,62,1118805,5.5
2009,2009,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,Viral hepatitis,B15-B19,,55-64 years,55-64,Female,F,27,922446,2.9
2009,2009,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,Viral hepatitis,B15-B19,,55-64 years,55-64,Male,M,74,862125,8.6
2009,2009,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,Viral hepatitis,B15-B19,,65-74 years,65-74,Male,M,19,472452,Unreliable
